smiles,enamine
O=C(c1ccnc2[nH]c(O)nc12)N1CCCCCC1,s_22____57673____11678558
O=C(c1cnc2[nH]c(=O)nc(O)c2c1)N1CCCCCC1,s_527____153918____805856
O=c1nc(O)c2cc(S(=O)(=O)N3CCCCCC3)cnc2[nH]1,s_40____79445____6554144
CCC(CNC(=O)CCC1CCCCC1)Nc1ncnc2[nH]cnc12,m_274310____14112808____14115676____12649998
CCCC(CCC)=NNc1nc(=O)c2cnn(C)c2[nH]1,s_4____4860822____66743
Cc1cc(C(=O)N2CCCC2)nc2[nH]c(O)nc(=O)c12,s_22____57697____5448716
CCC(=O)NN=c1[nH]c(=O)c2cnn(C)c2[nH]1,s_527____4860834____156120
CCC(CC)NS(=O)(=O)c1cnc2[nH]c(=O)[nH]c(=O)c2c1,Z1343521204
CCCNS(=O)(=O)c1cnc2[nH]c(=O)[nH]c(=O)c2c1,s_40____79717____6554144
CC(=O)NCC1(Nc2ncnc3[nH]cnc23)CCCCC1,m_274310____14112634____12185798____12649998
CCCNC(=O)c1ccnc2[nH]c(O)nc12,s_22____58027____11678558
O=C(c(cn1)c2n1c(=O)cc(CN3CCCCC3)[nH]2)O,PV-003096119426
CCCN(CCC)Cc1cc(=O)n2ncc(C(=O)OCC)c2[nH]1,Z1159158582
CCC(CC)NC(=O)c1ccnc2[nH]c(O)nc12,Z2890182452
CCCc1cc(=O)n2nc(NC(=O)C3CCCCCCC3)[nH]c2n1,s_11____12155222____5635438
CCCC(CCC)C(=O)NNc1ncnc2[nH]cnc12,s_527____5337520____7763526
Oc(n1)[nH]c2c1c(NC3CCCCC3)nc(Cl)n2,PV-002101528948
CC1CCOCCN1C(=O)c1cnc2[nH]c(=O)nc(O)c2c1,s_22____13439600____805838
CC(C)C(CNC(=O)C1(C)CCC1)Nc1ncnc2[nH]cnc12,m_274310____14112856____14118996____12649998
CCC(=O)NCC(C)N(C)C(=O)c1ccnc2[nH]nnc12,m_275592____14115126____13186874____14135342
CCOC(=O)c1cccc2[nH]c(NC(=O)CC)nc12,s_11____13438690____53504
Cn1ncc2c(=O)nc(NC(=O)C3CCCCC3)[nH]c21,s_11____12129492____53541
Cn1c(=O)[nH]c2nc(N3CCCC3)[nH]c2c1=O,Z3075272026
CC(C)CCC(=O)NN=c1[nH]c(=O)c2cnn(C(C)(C)C)c2[nH]1,s_527____4602750____282086
CC(C)(C)n1ncc2c(=O)nc(NC3CC3)[nH]c21,s_27____61308____2569016
Cn1c(=O)[nH]c(=O)c2cc(C(=O)NC3CC3)cnc21,s_22____57910____262238
CC1(NC(=O)c2ccnc3[nH]c(O)nc23)CC1,s_22____5126062____11678558
CCCN(CCC)c1nnc(-c2ncnc3[nH]cnc23)n1CC(C)C,m_270942____9828430____10151268____14068586
CCc1nn(C)c2[nH]nc(NC(=O)Nc3ccc(F)cc3)c12,s_2430____737092____10173658
CC1(C(=O)NNc2ncnc3[nH]cnc23)CC1,s_527____5337520____7106878
CCC(NC(CNC(c(ccn1)c2c1[nH]cn2)=O)CC)=O,PV-001523764606
CCCCC(=O)NC(CC)CNC(=O)c1cncc2[nH]cnc12,m_275592____14114824____14141158____13186362
CCC(C)=NNc1nc(=O)c2cnn(C(C)(C)C)c2[nH]1,s_4____4602736____66741
Oc1nc2c(NCC3CC3)nc(Cl)nc2[nH]1,Z3718830481
Cc1cc(C(=O)N2CCOCCC2C)nc2[nH]c(O)nc(=O)c12,s_22____13439600____5448716
CCCCNC(=O)c1cnc2[nH]c(=O)nc(O)c2c1,s_22____57764____805838
CC(=O)N1CCCC1CNc1ncnc2[nH]cnc12,m_274310____14112926____12185798____12649998
CC(CNc1ncnc2[nH]cnc12)(NC(=O)C1CCCCC1)C1CC1,m_274310____14112812____12657782____12649998
Cc(cc1=O)nc2n1nc(NC(C3(CCCC3)C)=O)[nH]2,Z2676713032
CCCCN(CCCC)Cc1cc(=O)n2[nH]c(N)nc2n1,s_2230____6582778____12155142
O=c1nc(NC2CCCCC2)[nH]c2c1cnn2-c1ccccc1,s_27____61131____4971298
CCNc1nc(=O)c2cnn(C)c2[nH]1,s_27____61262____3014692
CCC(=O)OC(C)C(=O)Nc1ncnc2[nH]cnc12,s_1458____473508____486668
O=C(NN=C1CCCC1)c1ncnc2[nH]cnc12,s_4____13037868____66759
COC(=O)c1cccc2[nH]c(NC(=O)c3ccccc3F)nc12,Z1480764918
CCCCC(CNc1ncnc2[nH]cnc12)NC(=O)CC(C)C,m_274310____14113122____12657780____12649998
CC1(NS(=O)(=O)c2cnc3[nH]c(=O)[nH]c(=O)c3c2)CC1,s_40____5126064____6554144
CC(=O)Nc1ccccc1-n1ncc2c(=O)nc[nH]c21,s_11____637056____53455
CC1CN(C(=O)c2ccnc3[nH]c(O)nc23)CCO1,s_22____211578____11678558
Cn1c(=O)[nH]c(=O)c2cc(C(=O)N3CCCCCC3)cnc21,s_22____57673____262238
CCCC(CCC)C(=O)NNC(=O)c1ncnc2[nH]cnc12,s_22____13037876____7763524
CC(CNC(=O)c1ccccc1)Nc1ncnc2[nH]cnc12,m_274310____14112730____12657778____12649998
CCNC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1,s_22____57815____329434
CC1(CNc2nc(Cl)nc3[nH]c(O)nc23)CC1,PV-002559083621
CCc1nn(C)c2[nH]nc(NC(=O)c3cc(Cl)ccc3F)c12,s_22____4974736____137116
Cn1ncc2c(=O)nc(NC(=O)C3(C)CCCCC3)[nH]c21,s_11____12129492____9105072
CC1(C(=O)Nc2n[nH]c3ncnn23)CCCCCC1,s_22____10330342____8625450
CC1CC(C)(C)CN1C(=O)c1ccnc2[nH]c(O)nc12,s_22____10970418____11678558
Cn1ncc2c(=O)nc(NC(=O)c3cc(Br)ccc3F)[nH]c21,s_11____12129492____55663
CC(CN(C)C(=O)C1CCC1)Nc1nc(=O)c2cnn(C)c2[nH]1,m_274310____14113170____12185804____12650042
CCCN1CCN(C(=O)c2cnc3[nH]c(=O)nc(O)c3c2)CC1,s_22____3219810____805838
