smiles,enamine
NC(=O)c1cccc(NC(=O)NC(CO)c2cc(F)ccc2F)c1,s_2430____739576____13420436
NS(=O)(=O)c1ccc(F)c(CNS(=O)(=O)c2ccccc2F)c1,Z1212951773
NS(=O)(=O)c1ccc(Cl)c(C(=O)NCc2ccc(F)c(F)c2)c1,s_527____542798____282162
COc1ccc(F)cc1NC(=O)NC(C(N)=O)c1ccc(F)cc1,s_2430____8157922____9358236
O=C(Nc1cc(F)ccc1F)C(=O)NC(CO)c1ccccc1,s_2718____6579688____867166
NS(=O)(=O)c1cccc(NC(=O)COC(=O)c2ccc(F)cc2)c1,s_1458____473324____485210
O=C(NCC(O)c1cccc(F)c1)C(=O)Nc1cc(Br)ccc1F,s_2718____2054222____5176086
CC(=O)Nc1cccc(CNC(=O)C(=O)Nc2cccc(F)c2)c1,s_2718____870070____867030
NC(=O)c1ccc(F)c(NC(=O)C(=O)NCc2ccccc2)c1,Z753689648
COC(=O)c1cc(NC(=O)NC(CO)c2cccc(F)c2)ccc1Cl,s_2430____11764818____4969814
NS(=O)(=O)c1ccc(F)c(C(=O)NCC(O)c2cccc(F)c2)c1,s_22____7114798____60722
O=C(NNc1c(F)cc(F)cc1)CNS(=O)(c2ccc(F)cc2)=O,Z242112914
NC(=O)CC(NC(=O)Nc1cc(F)ccc1F)c1ccccc1,PV-002319641745
CS(=O)(=O)Nc1cc(C(=O)NNc2ccc(F)c(F)c2)ccc1Cl,s_527____13226510____2307146
NC(=O)c1cccc(NC(=O)NC2COc3ccc(F)cc3C2)c1,s_2430____739576____10269258
NC(=O)c1cc(CNC(=O)C(=O)Nc2cc(F)ccc2F)on1,s_2718____7686928____867166
NS(=O)(=O)c1cc(C(=O)NC(CO)c2ccc(F)cc2)ccc1F,Z1576641081
CC(NC(=O)Nc1cc(F)cc(S(N)(=O)=O)c1)c1ccc(Cl)cc1,s_2430____4597312____741550
O=C(CCNS(=O)(=O)c1ccccc1F)NNc1ccc(F)cc1,s_527____396522____156172
O=C(CNC(=O)c1ccc(F)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1,s_527____154071____157815
NS(=O)(=O)c1cccc(CNCC(O)COc2ccc(F)cc2)c1,s_273610____11517986____11515856
Nc1c(NS(=O)(=O)c2ccc(F)cc2)cccc1S(N)(=O)=O,s_20____8348580____79204
O=C(NCc1nnc2c(=O)[nH]ccn12)Nc1cccc(F)c1,s_487____13029836____2441936
NC(c1ccc(S(=O)(NCC(c2c(F)cccc2F)O)=O)cc1)=O,Z1497099936
COc1ccc(F)cc1NC(=O)NC(CO)c1cccc(F)c1,s_2430____8157922____4969814
O=C(NC(CO)CNC(=O)c1ccc(F)cc1F)c1cc(F)c[nH]1,PV-001123502324
NC(=O)c1cccc(NC(=O)NCC(O)c2c(F)cccc2F)c1,s_2430____739576____13026036
Nc1ncncc1CNC(=O)C(=O)Nc1ccc(F)c(F)c1,s_2718____8260468____867180
CN(CCNC(=O)c1cocn1)C(=O)c1c[nH]c(C(N)=O)c1,m_275592____14114776____14136078____13186518
CC(NC(=O)NCc1cc(S(N)(=O)=O)ccc1F)c1ccccc1Cl,s_512____15697368____158876
O=C(O)c1cc(S(=O)(=O)Nc2ccc3oc(=O)[nH]c3c2)ccc1F,s_20____508346____79296
CC(CN(C)C(=O)c1ccc(C(N)=O)cn1)NC(=O)c1cocn1,m_275592____14114894____13187190____14130110
COC(=O)NCC(=O)N1CCC(N(C)C(=O)CN(C)C(C)=O)C1,PV-001514850338
COc1c(Cl)cccc1NC(=O)C(=O)NCC(O)c1ccc(F)cc1,s_2718____870488____1316394
CSc1ccccc1S(=O)(=O)NCc1cc(S(N)(=O)=O)ccc1F,Z1765836815
CN(C)C(CNS(=O)(=O)c1cc(F)c(F)cc1F)c1cccc(F)c1,s_40____80724____3603542
CN(CCNC(=O)c1cocn1)C(=O)c1ccc2oc(=O)[nH]c2c1,m_275592____14114776____14138940____13186518
NC(=O)c1cc(NC(=O)NC(CCO)c2ccccc2F)ccc1F,s_2430____740758____11573154
Nc1cc(F)c(F)cc1C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,s_22____436722____14429812
NS(=O)(=O)c1cccc(NC(=O)NC2CCc3ccc(F)cc32)c1,s_2430____4597242____3936592
COC(=O)N1CCN(C(=O)C(=O)NC2CCC(=O)N(C)C2)CC1,s_271948____9944782____9915768
O=S(=O)(NC(CO)Cc1c[nH]c2ccccc12)c1ccc(F)cc1F,s_40____5439584____79340
NS(=O)(=O)c1cc(Cl)c(F)c(C(=O)NNc2ccc(Cl)c(F)c2)c1,s_22____7639480____7762212
NC(=O)c1cc(C(=O)NCC2CCCN2C(=O)c2ccncc2)c[nH]1,m_275592____14114942____13186900____14129474
O=S(=O)(NCC(O)c1ccc(F)cc1)c1c[nH]c2nccc(Cl)c12,s_40____5439182____7941272
CS(=O)(=O)Nc1cccc(C(=O)NCC(O)c2cccc(F)c2)c1,s_527____2054214____157886
NC(=O)c1c[nH]c(C(=O)NC2CCN(C(=O)c3ccns3)C2)c1,m_275592____14114750____14138722____14131190
CN(CCNC(=O)c1ccon1)C(=O)c1ccc(C(N)=O)nc1,m_275592____14114776____14136748____13186430
NC(=O)c1cc(NC(=O)C(=O)NCc2ccccc2F)ccc1F,s_2718____869012____868116
COc1nscc1NC(=O)NC(CO)c1ccc(F)cc1F,s_2430____12889402____12111508
O=C(CNC(=O)C(=O)Nc1ccc(F)c(Cl)c1)Nc1cccnc1,Z1237905097
Cc1cc(C(=O)NCC2CCN2C(=O)c2cc(C(N)=O)ccn2)no1,m_275592____16453348____14136906____13186298
CS(=O)(=O)Nc1cccc(NC(=O)C(=O)Nc2ccccc2F)c1,s_2718____9145466____867072
NS(=O)(=O)c1cc(C(=O)NCc2c(F)cccc2Cl)ccc1F,Z763031226
CS(=O)(=O)c1cccc(NC(=O)NC(CO)c2cccc(F)c2)c1,s_2430____739774____4969814
CC(O)(CNC(=O)c1cc(S(N)(=O)=O)ccc1F)c1ccccc1,s_22____4929942____60722
COc1ccc(C(N)=O)cc1S(=O)(=O)NC(=O)c1cccc(F)c1,Z2073376278
Cc1c(F)cc(NC(C(NCC(c2cc(F)ccc2)O)=O)=O)cc1,Z874938458
O=C(CNS(=O)(=O)c1cccc(F)c1)NC(CO)c1cccc(F)c1,s_527____8364152____155685
CN(CCNC(=O)c1cnco1)C(=O)c1c[nH]c(C(N)=O)c1,m_275592____14114776____14136078____14133174
NC(=O)c1cccc(NC(=O)NCc2noc3ccc(F)cc23)c1,PV-002238155747
